Divisao;Unidade;Código Cliente;Projeto Financeiro;Mês base;Dono de Carteira;Segmento
KD26;D204;347434;125077;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD26;DA213;298149;124647;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
I030;AA01;426191;182419;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;AA11;407317;182337;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
I030;AA12;426177;182333;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z06;426470;182513;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z09;407644;183562;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z10;426839;182678;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z17;58759;182335;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;A01;352914;169171;30/04/2024;COBRANÇA INTERNA - LUIZ;Amigavel
K19X;F30;360132;173454;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;P17;406486;178963;30/04/2024;ASSESSORIA TW - GUILHERME;Amigavel
K19X;R24;403156;177492;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;A072;346132;164372;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K232;A087;346283;164498;30/04/2024;ASSESSORIA TW - GUILHERME;AF
K232;A100;407420;163461;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
K232;E1006;306528;131664;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K232;F1015;306999;132071;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
K232;I016;349378;115091;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K232;K059;226820;183970;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;K060;225129;68938;30/04/2024;ASSESSORIA TW - DULCE;Mediacao
K232;K069;145140;183635;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;U016;429352;183372;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K232;U053;334353;154815;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K32X;28B10;87322;20631;30/04/2024;ASSESSORIA TW - DULCE;AF
K862;O24;277075;108649;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
K872;H13;277648;109075;30/04/2024;ASSESSORIA - VM RECOVERY;AF
KD26;AA202;302629;128453;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;B209;298365;124782;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;CA207;403613;177698;30/04/2024;ASSESSORIA TW - GUILHERME;AF
KD26;D221;345316;163757;30/04/2024;COBRANÇA INTERNA – AXIS;Mediacao
KD26;E222;297958;124516;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;F221;359533;173063;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;G228;406817;179055;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD26;H209;391710;177032;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;I201;384461;175538;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;J220;336581;156611;30/04/2024;COBRANÇA INTERNA – AXIS;Mediacao
KD26;L217;299103;126328;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;M223;299729;132040;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;M227;407657;177546;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;O210;298827;125161;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;P201;386210;175512;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;Q209;298074;124601;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K19X;K24;159749;23837;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;L14;356145;172224;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
K19X;M03;344538;163181;30/04/2024;ASSESSORIA TW - DULCE;AF
K19X;R16;54850;23326;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K19X;R21;403401;177668;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;S03;336921;156857;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K19X;S31;409230;180411;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;W08;319028;142201;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;Y01;403138;177536;30/04/2024;ASSESSORIA - VM RECOVERY;Mediacao
K19X;Y03;403657;178228;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K232;A020;250446;183404;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;A035;284989;114473;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
K232;A056;314871;138616;30/04/2024;ASSESSORIA TW - DULCE;AF
K232;A063;406897;153117;30/04/2024;COBRANÇA INTERNA - LUIZ;AF
K232;A111;332347;153115;30/04/2024;ASSESSORIA TW - DULCE;AF
K232;H009;306062;131287;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
K232;R022;225734;69936;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K232;U040;345768;164106;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K232;U080;345332;163772;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
K32X;12B03;87111;20477;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K872;B14;344826;163416;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K97X;Q1310;391877;167481;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;CA203;349831;167002;30/04/2024;ASSESSORIA TW - GUILHERME;AF
KD26;F206;407876;179695;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;G221;409159;126639;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;J222;78005;182736;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
KD26;Q201;339437;158956;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado A/F
KD26;R207;298649;125011;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;X202;298847;125168;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;Z218;389921;176849;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
I030;Y11;426147;182336;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
I030;Z02;426176;182331;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
K11X;144507;265394;99858;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K15X;H124;42055;RI627280;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;A17;359233;172864;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;B04;424059;181676;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;B20;391815;177158;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;B24;391849;177169;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;B27;408986;180063;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;I11;359431;173438;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;I26;300700;128471;30/04/2024;ASSESSORIA TW - DULCE;Mediacao
K19X;N20;350710;167502;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
K19X;O02;356107;170785;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;P05;159749;23380;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;R05;387546;176309;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;T17;159749;23375;30/04/2024;ASSESSORIA TW - DULCE;Amigavel
K19X;V03;403188;177554;30/04/2024;SEM DONO DE CARTEIRA;Liminar
K19X;W01;359622;173022;30/04/2024;ASSESSORIA - VM RECOVERY;Amigavel
K19X;Y10;408011;179757;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K19X;Y13;404445;178243;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
K232;A097;328232;149607;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K232;E1004;306523;131660;30/04/2024;SEM DONO DE CARTEIRA;Exclusão
K232;M003;305806;131061;30/04/2024;ASSESSORIA - VM RECOVERY;AF
K232;Q009;358214;172251;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado A/F
K232;U065;345759;164096;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
K862;H10;356870;171197;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;A202;351726;168136;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;BA220;325990;147789;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;C216;403466;177635;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado A/F
KD26;D210;361352;177165;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;Q214;360833;176410;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;S221;430374;176970;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;V205;406865;179085;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;V224;349567;166884;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;W202;404366;178764;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD26;W216;320488;143271;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;X213;361606;174084;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD26;X217;403135;177478;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;Z216;360295;173397;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;Z217;389921;176847;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado A/F
KD82;C0103;355516;176373;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C04;388103;176339;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;D05;388104;176667;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;D11;407553;179526;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;D14;387978;176577;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E01;387862;176467;30/04/2024;COBRANÇA INTERNA - NAYARA;Securitizado
KD82;E03;427025;179792;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E05;388333;176563;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;E07;409110;180200;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E08;171588;180594;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E09;408162;180129;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F04;408149;179864;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F11;388008;176377;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F17;294004;178705;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;F18;388061;176675;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G09;388956;176560;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G17;407763;179665;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G20;407481;179467;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H12;387951;176344;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H13;388337;176766;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD26;E203;350821;167637;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;E213;348237;166004;30/04/2024;COBRANÇA INTERNA – AXIS;Liminar
KD26;E232;361749;182596;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD26;H210;423105;177585;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;I212;60351;163749;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;K213;362632;177476;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;M216;298870;125190;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;M226;345350;163785;30/04/2024;ASSESSORIA - VM RECOVERY;AF
KD26;N206;407445;179435;30/04/2024;COBRANÇA INTERNA – AXIS;Preventivo
KD26;N208;424106;126117;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;E201;426439;182508;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD26;E231;353151;169219;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;F203;299851;126086;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;F225;349036;166550;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;J215;344733;125426;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;L218;426861;182683;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD26;L225;356484;176788;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado A/F
KD26;N216;299729;125960;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;N222;351116;167883;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;N223;359997;173159;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;N237;344512;163210;30/04/2024;COBRANÇA INTERNA – AXIS;Exclusão
KD26;Q224;352356;168728;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;S213;348761;166371;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;T224;299755;126360;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;W205;344615;163240;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;X201;300596;126698;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;Z219;350275;162280;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD82;C0102;355516;177461;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C01;430386;183745;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C02;387865;177485;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C03;387815;176763;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C07;407700;183898;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;D07;389249;176685;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;D10;407553;179527;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;D15;407642;179578;30/04/2024;COBRANÇA INTERNA - NAYARA;Preventivo
KD82;E02;387862;176466;30/04/2024;COBRANÇA INTERNA - NAYARA;Securitizado
KD82;E19;391222;177084;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F07;388278;176722;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F10;388733;176696;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;F14;249513;176419;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F15;429422;176433;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;F16;407927;179796;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G05;403530;177650;30/04/2024;ASSESSORIA TW - DULCE;Securitizado
KD82;G10;403085;177462;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G11;266771;176949;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H01;391750;177070;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H08;407776;180501;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;H09;408110;179790;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H10;388247;176434;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;H14;388257;176806;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;I01;431681;184227;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;I03;403121;181219;30/04/2024;COBRANÇA INTERNA - LUIZ;Securitizado
KD82;I06;255264;180246;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;I08;391210;177017;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;I12;403145;177457;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;J02;403121;182459;30/04/2024;COBRANÇA INTERNA - LUIZ;Securitizado
KD82;J03;423624;182469;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;J04;423624;182468;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;K01;404375;178206;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;K03;423719;181295;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD26;N240;426488;182488;30/04/2024;ASSESSORIA TW - GUILHERME;AF
KD26;P207;423034;170641;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;P208;349622;166908;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;P212;349832;167034;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;P221;429484;158787;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;P222;299729;132039;30/04/2024;COBRANÇA INTERNA – AXIS;Securitizado
KD26;P225;407458;126725;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;S216;299938;126152;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;T213;391758;177085;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;T219;348341;166079;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD82;I02;431703;184220;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD82;I17;407852;179697;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;J01;403121;182457;30/04/2024;COBRANÇA INTERNA - LUIZ;Securitizado
KD82;J06;388744;176641;30/04/2024;COBRANÇA INTERNA - NAYARA;Securitizado
KD82;J07;387825;176900;30/04/2024;ASSESSORIA TW - DULCE;Securitizado
KD82;K04;388224;176762;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD82;K05;390047;176816;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD82;K11;247522;176892;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;K12;407730;179611;30/04/2024;ASSESSORIA - VM RECOVERY;Securitizado
KD82;K24;407606;179525;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;K25;406826;184076;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;K26;406826;184078;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;L02;388151;176335;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;L04;388280;176688;30/04/2024;COBRANÇA INTERNA - LUIZ;Preventivo
KD82;L08;407924;179732;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;L09;388907;176566;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;M02;264592;182175;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;M09;390173;176898;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;M19;407446;181116;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;N02;406311;178777;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD26;U215;298574;124935;30/04/2024;COBRANÇA INTERNA – AXIS;Em Dia
KD26;X203;426515;182556;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD82;C0101;391249;177026;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;C06;406643;178974;30/04/2024;COBRANÇA INTERNA - LUIZ;Preventivo
KD82;D01;407642;179579;30/04/2024;COBRANÇA INTERNA - NAYARA;Preventivo
KD82;D02;388030;176679;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;D06;388104;176665;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;D09;387987;178679;30/04/2024;COBRANÇA INTERNA - LUIZ;Securitizado
KD82;D13;388289;176703;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E10;406248;178770;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;N08;424381;182190;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;N12;276177;184233;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;N13;427533;183001;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;N16;427385;182970;30/04/2024;COBRANÇA INTERNA - NAYARA;Em Dia
KD82;N18;426484;182489;30/04/2024;ASSESSORIA TW - GUILHERME;Securitizado
KD82;O07;406068;183577;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;O09;424380;181732;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;O16;348577;183465;30/04/2024;SEM DONO DE CARTEIRA;Em Dia
KD82;O20;427574;183041;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;O21;171864;183028;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;O22;408067;179772;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E16;388215;176559;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E17;387954;176347;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;E20;387862;179023;30/04/2024;COBRANÇA INTERNA - NAYARA;Securitizado
KD82;F09;388181;176417;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;G12;388361;176724;30/04/2024;COBRANÇA INTERNA - RAFAELA;Preventivo
KD82;G19;276296;178738;30/04/2024;COBRANÇA INTERNA - LUIZ;Em Dia
KD82;H02;391750;177071;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H05;171888;176340;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
KD82;H11;387817;176789;30/04/2024;COBRANÇA INTERNA - RAFAELA;Em Dia
